t,y with h=0.01,y with h=0.005,y with h=0.001,y with h=0.0005,y with h=0.0002,y with h=0.0001
-2.50000000,,,,,,
-2.49990000,,,,,,
-2.49980000,,,,,,
-2.49970000,,,,,,
-2.49960000,,,,,,
-2.49950000,,,,,,
-2.49940000,,,,,,
-2.49930000,,,,,,
-2.49920000,,,,,,
-2.49910000,,,,,,
-2.49900000,,,,,,
-2.49890000,,,,,,
-2.49880000,,,,,,
-2.49870000,,,,,,
-2.49860000,,,,,,
-2.49850000,,,,,,
-2.49840000,,,,,,
-2.49830000,,,,,,
-2.49820000,,,,,,
-2.49810000,,,,,,
-2.49800000,,,,,,
-2.49790000,,,,,,
-2.49780000,,,,,,
-2.49770000,,,,,,
-2.49760000,,,,,,
-2.49750000,,,,,,
-2.49740000,,,,,,
-2.49730000,,,,,,
-2.49720000,,,,,,
-2.49710000,,,,,,
-2.49700000,,,,,,
-2.49690000,,,,,,
-2.49680000,,,,,,
-2.49670000,,,,,,
-2.49660000,,,,,,
-2.49650000,,,,,,
-2.49640000,,,,,,
-2.49630000,,,,,,
-2.49620000,,,,,,
-2.49610000,,,,,,
-2.49600000,,,,,,
-2.49590000,,,,,,
-2.49580000,,,,,,
-2.49570000,,,,,,
-2.49560000,,,,,,
-2.49550000,,,,,,
-2.49540000,,,,,,
-2.49530000,,,,,,
-2.49520000,,,,,,
-2.49510000,,,,,,
-2.49500000,,,,,,
-2.49490000,,,,,,
-2.49480000,,,,,,
-2.49470000,,,,,,
-2.49460000,,,,,,
-2.49450000,,,,,,
-2.49440000,,,,,,
-2.49430000,,,,,,
-2.49420000,,,,,,
-2.49410000,,,,,,
-2.49400000,,,,,,
-2.49390000,,,,,,
-2.49380000,,,,,,
-2.49370000,,,,,,
-2.49360000,,,,,,
-2.49350000,,,,,,
-2.49340000,,,,,,
-2.49330000,,,,,,
-2.49320000,,,,,,
-2.49310000,,,,,,
-2.49300000,,,,,,
-2.49290000,,,,,,
-2.49280000,,,,,,
-2.49270000,,,,,,
-2.49260000,,,,,,
-2.49250000,,,,,,
-2.49240000,,,,,,
-2.49230000,,,,,,
-2.49220000,,,,,,
-2.49210000,,,,,,
-2.49200000,,,,,,
-2.49190000,,,,,,
-2.49180000,,,,,,
-2.49170000,,,,,,
-2.49160000,,,,,,
-2.49150000,,,,,,
-2.49140000,,,,,,
-2.49130000,,,,,,
-2.49120000,,,,,,
-2.49110000,,,,,,
-2.49100000,,,,,,
-2.49090000,,,,,,
-2.49080000,,,,,,
-2.49070000,,,,,,
-2.49060000,,,,,,
-2.49050000,,,,,,
-2.49040000,,,,,,
-2.49030000,,,,,,
-2.49020000,,,,,,
-2.49010000,,,,,,
-2.49000000,,,,,,
-2.48990000,,,,,,
-2.48980000,,,,,,
-2.48970000,,,,,,
-2.48960000,,,,,,
-2.48950000,,,,,,
-2.48940000,,,,,,
-2.48930000,,,,,,
-2.48920000,,,,,,
-2.48910000,,,,,,
-2.48900000,,,,,,
-2.48890000,,,,,,
-2.48880000,,,,,,
-2.48870000,,,,,,
-2.48860000,,,,,,
-2.48850000,,,,,,
-2.48840000,,,,,,
-2.48830000,,,,,,
-2.48820000,,,,,,
-2.48810000,,,,,,
-2.48800000,,,,,,
-2.48790000,,,,,,
-2.48780000,,,,,,
-2.48770000,,,,,,
-2.48760000,,,,,,
-2.48750000,,,,,,
-2.48740000,,,,,,
-2.48730000,,,,,,
-2.48720000,,,,,,
-2.48710000,,,,,,
-2.48700000,,,,,,
-2.48690000,,,,,,
-2.48680000,,,,,,
-2.48670000,,,,,,
-2.48660000,,,,,,
-2.48650000,,,,,,
-2.48640000,,,,,,
-2.48630000,,,,,,
-2.48620000,,,,,,
-2.48610000,,,,,,
-2.48600000,,,,,,
-2.48590000,,,,,,
-2.48580000,,,,,,
-2.48570000,,,,,,
-2.48560000,,,,,,
-2.48550000,,,,,,
-2.48540000,,,,,,
-2.48530000,,,,,,
-2.48520000,,,,,,
-2.48510000,,,,,,
-2.48500000,,,,,,
-2.48490000,,,,,,
-2.48480000,,,,,,
-2.48470000,,,,,,
-2.48460000,,,,,,
-2.48450000,,,,,,
-2.48440000,,,,,,
-2.48430000,,,,,,
-2.48420000,,,,,,
-2.48410000,,,,,,
-2.48400000,,,,,,
-2.48390000,,,,,,
-2.48380000,,,,,,
-2.48370000,,,,,,
-2.48360000,,,,,,
-2.48350000,,,,,,
-2.48340000,,,,,,
-2.48330000,,,,,,
-2.48320000,,,,,,
-2.48310000,,,,,,
-2.48300000,,,,,,
-2.48290000,,,,,,
-2.48280000,,,,,,
-2.48270000,,,,,,
-2.48260000,,,,,,
-2.48250000,,,,,,
-2.48240000,,,,,,
-2.48230000,,,,,,
-2.48220000,,,,,,
-2.48210000,,,,,,
-2.48200000,,,,,,
-2.48190000,,,,,,
-2.48180000,,,,,,
-2.48170000,,,,,,
-2.48160000,,,,,,
-2.48150000,,,,,,
-2.48140000,,,,,,
-2.48130000,,,,,,
-2.48120000,,,,,,
-2.48110000,,,,,,
-2.48100000,,,,,,
-2.48090000,,,,,,
-2.48080000,,,,,,
-2.48070000,,,,,,
-2.48060000,,,,,,
-2.48050000,,,,,,
-2.48040000,,,,,,
-2.48030000,,,,,,
-2.48020000,,,,,,
-2.48010000,,,,,,
-2.48000000,,,,,,
-2.47990000,,,,,,
-2.47980000,,,,,,
-2.47970000,,,,,,
-2.47960000,,,,,,
-2.47950000,,,,,,
-2.47940000,,,,,,
-2.47930000,,,,,,
-2.47920000,,,,,,
-2.47910000,,,,,,
-2.47900000,,,,,,
-2.47890000,,,,,,
-2.47880000,,,,,,
-2.47870000,,,,,,
-2.47860000,,,,,,
-2.47850000,,,,,,
-2.47840000,,,,,,
-2.47830000,,,,,,
